"Id","ActivityHour","Calories","TotalIntensity","AverageIntensity","StepTotal","month","wday","date","week"
"1503960366",2016-04-12 00:00:00,81,20,0.333333,373,4,3,2016-04-12,15
"1503960366",2016-04-12 01:00:00,61,8,0.133333,160,4,3,2016-04-12,15
"1503960366",2016-04-12 02:00:00,59,7,0.116667,151,4,3,2016-04-12,15
"1503960366",2016-04-12 03:00:00,47,0,0,0,4,3,2016-04-12,15
"1503960366",2016-04-12 04:00:00,48,0,0,0,4,3,2016-04-12,15
"1503960366",2016-04-12 05:00:00,48,0,0,0,4,3,2016-04-12,15
"1503960366",2016-04-12 06:00:00,48,0,0,0,4,3,2016-04-12,15
"1503960366",2016-04-12 07:00:00,47,0,0,0,4,3,2016-04-12,15
"1503960366",2016-04-12 08:00:00,68,13,0.216667,250,4,3,2016-04-12,15
"1503960366",2016-04-12 09:00:00,141,30,0.5,1864,4,3,2016-04-12,15
"1503960366",2016-04-12 10:00:00,99,29,0.483333,676,4,3,2016-04-12,15
"1503960366",2016-04-12 11:00:00,76,12,0.2,360,4,3,2016-04-12,15
"1503960366",2016-04-12 12:00:00,73,11,0.183333,253,4,3,2016-04-12,15
"1503960366",2016-04-12 13:00:00,66,6,0.1,221,4,3,2016-04-12,15
"1503960366",2016-04-12 14:00:00,110,36,0.6,1166,4,3,2016-04-12,15
"1503960366",2016-04-12 15:00:00,151,58,0.966667,2063,4,3,2016-04-12,15
"1503960366",2016-04-12 16:00:00,76,13,0.216667,344,4,3,2016-04-12,15
"1503960366",2016-04-12 17:00:00,83,16,0.266667,489,4,3,2016-04-12,15
"1503960366",2016-04-12 18:00:00,124,29,0.483333,1386,4,3,2016-04-12,15
"1503960366",2016-04-12 19:00:00,104,39,0.65,558,4,3,2016-04-12,15
"1503960366",2016-04-12 20:00:00,132,41,0.683333,1733,4,3,2016-04-12,15
"1503960366",2016-04-12 21:00:00,100,31,0.516667,684,4,3,2016-04-12,15
"1503960366",2016-04-12 22:00:00,65,9,0.15,89,4,3,2016-04-12,15
"1503960366",2016-04-12 23:00:00,81,21,0.35,338,4,3,2016-04-12,15
"1503960366",2016-04-13 00:00:00,69,14,0.233333,144,4,4,2016-04-13,15
"1503960366",2016-04-13 01:00:00,48,0,0,0,4,4,2016-04-13,15
"1503960366",2016-04-13 02:00:00,47,0,0,0,4,4,2016-04-13,15
"1503960366",2016-04-13 03:00:00,53,4,0.066667,36,4,4,2016-04-13,15
"1503960366",2016-04-13 04:00:00,47,0,0,0,4,4,2016-04-13,15
"1503960366",2016-04-13 05:00:00,47,0,0,0,4,4,2016-04-13,15
"1503960366",2016-04-13 06:00:00,48,0,0,0,4,4,2016-04-13,15
"1503960366",2016-04-13 07:00:00,59,8,0.133333,126,4,4,2016-04-13,15
"1503960366",2016-04-13 08:00:00,69,12,0.2,275,4,4,2016-04-13,15
"1503960366",2016-04-13 09:00:00,136,27,0.45,1679,4,4,2016-04-13,15
"1503960366",2016-04-13 10:00:00,77,15,0.25,295,4,4,2016-04-13,15
"1503960366",2016-04-13 11:00:00,84,16,0.266667,524,4,4,2016-04-13,15
"1503960366",2016-04-13 12:00:00,82,15,0.25,486,4,4,2016-04-13,15
"1503960366",2016-04-13 13:00:00,72,10,0.166667,302,4,4,2016-04-13,15
"1503960366",2016-04-13 14:00:00,128,46,0.766667,1577,4,4,2016-04-13,15
"1503960366",2016-04-13 15:00:00,79,13,0.216667,493,4,4,2016-04-13,15
"1503960366",2016-04-13 16:00:00,71,10,0.166667,299,4,4,2016-04-13,15
"1503960366",2016-04-13 17:00:00,87,23,0.383333,695,4,4,2016-04-13,15
"1503960366",2016-04-13 18:00:00,118,25,0.416667,1343,4,4,2016-04-13,15
"1503960366",2016-04-13 19:00:00,73,13,0.216667,258,4,4,2016-04-13,15
"1503960366",2016-04-13 20:00:00,47,0,0,0,4,4,2016-04-13,15
"1503960366",2016-04-13 21:00:00,48,0,0,0,4,4,2016-04-13,15
"1503960366",2016-04-13 22:00:00,74,11,0.183333,437,4,4,2016-04-13,15
"1503960366",2016-04-13 23:00:00,135,56,0.933333,1766,4,4,2016-04-13,15
"1503960366",2016-04-14 00:00:00,56,4,0.066667,81,4,5,2016-04-14,15
"1503960366",2016-04-14 01:00:00,54,3,0.05,58,4,5,2016-04-14,15
"1503960366",2016-04-14 02:00:00,47,0,0,0,4,5,2016-04-14,15
"1503960366",2016-04-14 03:00:00,47,0,0,0,4,5,2016-04-14,15
"1503960366",2016-04-14 04:00:00,47,0,0,0,4,5,2016-04-14,15
"1503960366",2016-04-14 05:00:00,47,0,0,0,4,5,2016-04-14,15
"1503960366",2016-04-14 06:00:00,47,0,0,0,4,5,2016-04-14,15
"1503960366",2016-04-14 07:00:00,47,0,0,0,4,5,2016-04-14,15
"1503960366",2016-04-14 08:00:00,47,0,0,0,4,5,2016-04-14,15
"1503960366",2016-04-14 09:00:00,93,14,0.233333,902,4,5,2016-04-14,15
"1503960366",2016-04-14 10:00:00,109,23,0.383333,1106,4,5,2016-04-14,15
"1503960366",2016-04-14 11:00:00,64,7,0.116667,50,4,5,2016-04-14,15
"1503960366",2016-04-14 12:00:00,85,18,0.3,501,4,5,2016-04-14,15
"1503960366",2016-04-14 13:00:00,137,54,0.9,1779,4,5,2016-04-14,15
"1503960366",2016-04-14 14:00:00,113,22,0.366667,1228,4,5,2016-04-14,15
"1503960366",2016-04-14 15:00:00,66,7,0.116667,139,4,5,2016-04-14,15
"1503960366",2016-04-14 16:00:00,88,25,0.416667,408,4,5,2016-04-14,15
"1503960366",2016-04-14 17:00:00,61,5,0.083333,37,4,5,2016-04-14,15
"1503960366",2016-04-14 18:00:00,72,12,0.2,322,4,5,2016-04-14,15
"1503960366",2016-04-14 19:00:00,55,1,0.016667,11,4,5,2016-04-14,15
"1503960366",2016-04-14 20:00:00,91,24,0.4,806,4,5,2016-04-14,15
"1503960366",2016-04-14 21:00:00,174,57,0.95,2670,4,5,2016-04-14,15
"1503960366",2016-04-14 22:00:00,79,17,0.283333,362,4,5,2016-04-14,15
"1503960366",2016-04-14 23:00:00,50,0,0,0,4,5,2016-04-14,15
"1503960366",2016-04-15 00:00:00,60,6,0.1,83,4,6,2016-04-15,15
"1503960366",2016-04-15 01:00:00,58,5,0.083333,75,4,6,2016-04-15,15
"1503960366",2016-04-15 02:00:00,59,7,0.116667,124,4,6,2016-04-15,15
"1503960366",2016-04-15 03:00:00,47,0,0,0,4,6,2016-04-15,15
"1503960366",2016-04-15 04:00:00,47,0,0,0,4,6,2016-04-15,15
"1503960366",2016-04-15 05:00:00,49,1,0.016667,26,4,6,2016-04-15,15
"1503960366",2016-04-15 06:00:00,47,0,0,0,4,6,2016-04-15,15
"1503960366",2016-04-15 07:00:00,49,1,0.016667,7,4,6,2016-04-15,15
"1503960366",2016-04-15 08:00:00,54,5,0.083333,55,4,6,2016-04-15,15
"1503960366",2016-04-15 09:00:00,50,2,0.033333,21,4,6,2016-04-15,15
"1503960366",2016-04-15 10:00:00,63,8,0.133333,154,4,6,2016-04-15,15
"1503960366",2016-04-15 11:00:00,84,23,0.383333,425,4,6,2016-04-15,15
"1503960366",2016-04-15 12:00:00,74,13,0.216667,270,4,6,2016-04-15,15
"1503960366",2016-04-15 13:00:00,67,9,0.15,373,4,6,2016-04-15,15
"1503960366",2016-04-15 14:00:00,47,0,0,0,4,6,2016-04-15,15
"1503960366",2016-04-15 15:00:00,47,0,0,0,4,6,2016-04-15,15
"1503960366",2016-04-15 16:00:00,47,0,0,0,4,6,2016-04-15,15
"1503960366",2016-04-15 17:00:00,140,47,0.783333,1774,4,6,2016-04-15,15
"1503960366",2016-04-15 18:00:00,87,22,0.366667,509,4,6,2016-04-15,15
"1503960366",2016-04-15 19:00:00,97,32,0.533333,519,4,6,2016-04-15,15
"1503960366",2016-04-15 20:00:00,64,8,0.133333,77,4,6,2016-04-15,15
"1503960366",2016-04-15 21:00:00,75,14,0.233333,280,4,6,2016-04-15,15
"1503960366",2016-04-15 22:00:00,151,66,1.1,2145,4,6,2016-04-15,15
"1503960366",2016-04-15 23:00:00,182,95,1.583333,2768,4,6,2016-04-15,15
"1503960366",2016-04-16 00:00:00,77,15,0.25,459,4,7,2016-04-16,15
"1503960366",2016-04-16 01:00:00,48,0,0,0,4,7,2016-04-16,15
"1503960366",2016-04-16 02:00:00,52,3,0.05,63,4,7,2016-04-16,15
"1503960366",2016-04-16 03:00:00,48,1,0.016667,6,4,7,2016-04-16,15
"1503960366",2016-04-16 04:00:00,49,1,0.016667,6,4,7,2016-04-16,15
"1503960366",2016-04-16 05:00:00,49,1,0.016667,12,4,7,2016-04-16,15
"1503960366",2016-04-16 06:00:00,48,0,0,0,4,7,2016-04-16,15
